date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-12-12,22.9,18.4,35.9,2,,128,13.8,,1007.9,
2022-12-13,21.6,16.8,26.3,1,,41,10,,1011.9,
2022-12-14,26,20.5,30.3,0,,6,12.3,,1009.1,
2022-12-15,24.9,18.6,30.7,5.1,,134,19,,1014,
2022-12-16,20.4,17.3,28.7,0,,118,22.2,,1017.8,
2022-12-17,20.8,17.4,23.9,0,,81,25.5,,1014.9,
2022-12-18,22.8,19.5,26.4,0,,72,20.2,,1015.6,
2022-12-19,23.7,20.4,27.2,0,,74,19.9,,1016.2,
2022-12-20,24.6,21.6,28.5,0,,85,22.1,,1015.9,
2022-12-21,24.2,20.8,29.6,0,,83,21.7,,1015.8,
2022-12-22,25.3,21.7,29,0,,74,19.3,,1012.2,
2022-12-23,24.1,21.1,30.1,7.9,,67,13.8,,1010.2,
2022-12-24,20.7,17.6,26.9,23.9,,181,11.7,,1014.1,
2022-12-25,18.5,13.7,23.1,0,,179,9.1,,1018.6,
2022-12-26,21.7,16.4,25.7,0,,2,10.5,,1015.3,
2022-12-27,24.7,19.2,28.7,0,,347,11.3,,1011.4,
2022-12-28,25.7,20.8,30.4,0.2,,224,14.8,,1010.1,
2022-12-29,23,18.7,31.1,0,,43,12.1,,1014,
2022-12-30,26.8,21.3,31.9,0,,354,14.2,,1009.3,
2022-12-31,26,23.1,35.1,0,,124,24.1,,1012.2,
